tmdbId,imdb_id,title,original_title,original_language,overview,release_date,runtime,vote_average,vote_count,popularity,backdrop_path,poster_path
862,tt0114709,toy story,Toy Story,en,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",1995,81.0,7.499646675790765,5415.0,21.946943,/lxD5ak7BOoinRNehOCA85CQ8ubr.jpg,/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg
8844,tt0113497,jumanji,Jumanji,en,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",1995,104.0,6.65276856361802,2413.0,17.015539,/pYw10zrqfkdm3yD9JTO6vEGQhKy.jpg,/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg
949,tt0113277,heat,Heat,en,"Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.",1995,170.0,7.212537361747952,1886.0,17.924927,/6N1uy1r66mXHefU3gG9ePZgijCW.jpg,/umSVjVdbVwtx5ryCA2QXL44Durm.jpg
710,tt0113189,goldeneye,GoldenEye,en,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,1995,130.0,6.280261944006108,1194.0,14.686036,/5jVWJiPpmk216Q7vjjlwNXXE6ee.jpg,/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg
524,tt0112641,casino,Casino,en,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,1995,178.0,7.144612015031452,1343.0,10.137389,/2W9HjAYWNug5RwyrEtrneXeL94Z.jpg,/6zEZY1htzRos2w0W3T7o7W1WJhp.jpg
63,tt0114746,twelve monkeys,Twelve Monkeys,en,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",1995,129.0,7.062758648391336,2470.0,12.297305,/1IWaKG7AWiYMhADxhGtnElDJAGI.jpg,/gt3iyguaCIw8DpQZI1LIN5TohM2.jpg
9603,tt0112697,clueless,Clueless,en,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",1995,97.0,6.373791867336098,828.0,9.882383,/2FonLz0RPxbBriOlZ9mWhYdlqCp.jpg,/8AwVTcgpTnmeOs4TdTWqcFDXEsA.jpg
807,tt0114369,se7en,Se7en,en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",1995,127.0,7.879547080327155,5915.0,18.45743,/dYjZ27hDw2QFaEIfzbNGwW0IkV9.jpg,/6yoghtyTpznpBik8EngEmJskVUO.jpg
10530,tt0114148,pocahontas,Pocahontas,en,"History comes gloriously to life in Disney's epic animated tale about love and adventure in the New World. Pocahontas is a Native American woman whose father has arranged for her to marry her village's best warrior. But a vision tells her change is coming, and soon she comes face to face with it in the form of Capt. John Smith.",1995,81.0,6.400904762343922,1509.0,13.280069,/9YAVIwBcBrLXeukg2dgMGfYB1uu.jpg,/kZ1ft0QZ4e3zDUPMBftEkwI9ftd.jpg
629,tt0114814,the usual suspects,The Usual Suspects,en,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",1995,106.0,7.734049416089177,3334.0,16.302466,/7S7PE3vK9Eh5uzCYBDGk5qTJeYW.jpg,/bUPmtQzrRhzqYySeiMpv7GurAfm.jpg
